9	2.05705	1.24048125	#N/A		2.551731955
9	1.84408	1.5209375	#N/A		2.804730425
9	1.96997	1.6775125	0.130758		3.3046493
10	2.77946	1.1161	#N/A		3.102155306
10	2.91072	1.31214375	#N/A		3.819283056
10	2.64244	1.69035	0.104946		4.466648454
5	3.6398	1.46026875	#N/A		5.315086196
5	3.74599	1.71700625	#N/A		6.431888242
5	3.77115	1.941075	0.131899		7.320084986
6	1.21492	0.8541375	#N/A		1.037708732
6	1.17501	1.0017125	#N/A		1.177022205
6	1.2777	1.1380375	0.0587337		1.454070514
					
1	3.7947	1.13518125	#N/A		4.307672289
1	3.59375	1.4618	#N/A		5.25334375
1	3.58869	1.68379375	0.121786		6.042613793
2	2.43433	1.4514	#N/A		3.533186562
2	2.57514	1.69558125	#N/A		4.3663591
2	2.68226	1.883125	0.0902641		5.051030863
3	2.87445	1.35759375	#N/A		3.902335355
3	3.12822	1.5448625	#N/A		4.83266977
3	2.96499	1.85085	0.21907		5.487751742
4	2.43986	1.08083125	#N/A		2.637076934
4	2.53206	1.2406875	#N/A		3.141495191
4	2.52443	1.47336875	0.0967185		3.719416274
5	0.1	1.22511875	#N/A		0.122511875
5	0.14158	1.39666875	#N/A		0.1977403616
5	0.112466	1.567125	0.074115		0.1762482803
6	2.00837	0.84375	#N/A		1.694562188
6	2.21632	0.93819375	#N/A		2.079337572
6	2.08257	1.15911875	0.112741		2.413945935
7	3.1001	1.1192625	#N/A		3.469825676
7	2.92358	1.33765625	#N/A		3.910745059
7	3.36019	1.40143125	0.150963		4.709075272
8	1.30276	0.96040625	#N/A		1.251178846
8	1.32258	1.13161875	#N/A		1.496656326
8	1.35921	1.3038125	0.0738471		1.772154988
9	0.752738	1.1291125	#N/A		0.849925885
9	0.811894	1.3118375	#N/A		1.065072995
9	0.707643	1.517075	0.0851018		1.073547504
10	0.567643	0.98683125	#N/A		0.5601678512
10	0.554172	1.1777	#N/A		0.6526483644
10	0.487034	1.36065	0.0561941		0.6626828121
5	0.121318	1.2738375	#N/A		0.1545394178
5	0.15722	1.492275	#N/A		0.2346154755
5	0.235423	1.75515	0.0875		0.4132026785
6	1.97648	0.832975	#N/A		1.646358428
6	2.19301	0.9205	#N/A		2.018665705
6	2.28647	1.0547375	0.0963463		2.411625652
					
1	19.0641	0.6338375	#N/A		12.08354148
1	19.0641	0.7192375	#N/A		13.71161562
1	19.0641	0.84169375	0.114011		16.04613382
2	5.46886	0.727275	#N/A		3.977365157
2	5.46886	0.85381875	#N/A		4.669415209
2	5.46886	0.97610625	0.108741		5.338188426
3	8.76023	0.877825	#N/A		7.6899489
3	8.76023	1.0219125	#N/A		8.95218854
3	8.76023	1.18891875	0.0864449		10.4152017
4	8.44998	1.272925	#N/A		10.75619079
4	8.44998	1.47843125	#N/A		12.49271449
4	8.44998	1.68781875	0.117019		14.26203468
5	11.2385	0.5982475	#N/A		6.723404529
5	11.2385	0.7437625	#N/A		8.358774856
5	11.2385	0.94858125	0.147253		10.66063038
6	27.5289	0.422891875	#N/A		11.64174814
6	27.5289	0.519518125	#N/A		14.30176251
6	27.5289	0.6364625	0.250772		17.52111252
7	17.8225	0.7923625	#N/A		14.12188066
7	17.8225	0.921125	#N/A		16.41675031
7	17.8225	1.10845625	0.158273		19.75546152
8	1.62055	1.34564375	#N/A		2.180682979
8	1.53821	1.632775	#N/A		2.511550833
8	1.85145	1.74594375	0.118694		3.232527556
9	14.7946	0.86770625	#N/A		12.83736689
9	14.7946	1.01059375	#N/A		14.95133029
9	14.7946	1.18868125	0.129822		17.58606362
10	10.576	0.72588125	#N/A		7.6769201
10	10.576	0.86545625	#N/A		9.1530653
